date,close,high,low,open,volume,daily_returns,sma_20,sma_50,log_returns,rolling_vol_annualized,cumulative_return,cum_return_for_drawdown,running_max,drawdown
2025-01-01,94419.7578125,94929.8671875,92788.125,93425.1015625,24519888919,,,,,,,1.0,1.0,0.0
2025-01-02,96886.875,97739.8203125,94201.5703125,94416.2890625,46009564411,0.026129247147606893,,,0.02579371069354611,,0.026129247147606893,1.026129247147607,1.026129247147607,0.0
2025-01-03,98107.4296875,98956.9140625,96034.6171875,96881.7265625,35611391163,0.012597729955682757,,,0.01251903875349227,,0.03905614630280052,1.0390561463028005,1.0390561463028005,0.0
2025-01-04,98236.2265625,98734.4296875,97562.9765625,98106.9921875,22342608078,0.0013128146911018934,,,0.001311953703357832,,0.040420234476546524,1.0404202344765465,1.0404202344765465,0.0
2025-01-05,98314.9609375,98813.3046875,97291.765625,98233.90625,20525254825,0.0008014800420892421,,,0.0008011590284728617,,0.041254110529865384,1.0412541105298654,1.0412541105298654,0.0
2025-01-06,102078.0859375,102482.875,97926.1484375,98314.953125,51823432705,0.03827621924594227,,,0.03756185651681786,,0.08110938115524502,1.081109381155245,1.081109381155245,0.0
2025-01-07,96922.703125,102712.484375,96132.875,102248.8515625,58685738547,-0.05050430525956884,,,-0.05182428297869528,,0.02650870295039698,1.026508702950397,1.081109381155245,-0.050504305259568824
2025-01-08,95043.5234375,97258.3203125,92525.84375,96924.1640625,63875859171,-0.019388436629511285,,,-0.019578857696565647,,0.006606304013601294,1.0066063040136013,1.081109381155245,-0.06891354236703755
2025-01-09,92484.0390625,95349.71875,91220.84375,95043.484375,62777261693,-0.026929603222076492,,,-0.027298849179035745,,-0.020501204354325897,0.9794987956456741,1.081109381155245,-0.09398733123654197
2025-01-10,94701.453125,95770.609375,92250.09375,92494.4921875,62058693684,0.023976181025154863,,,0.02369326562915915,,0.002983436083995983,1.002983436083996,1.081109381155245,-0.0722646074791856
2025-01-11,94566.59375,94977.6875,93840.046875,94700.8359375,18860894100,-0.001424047578467369,,,-0.0014250624978636736,,0.0015551399505977503,1.0015551399505978,1.081109381155245,-0.07358574681836329
2025-01-12,94488.4375,95367.5390625,93712.5078125,94565.7265625,20885130965,-0.0008264678561502592,,,-0.0008268095689983134,,0.0007273868212664958,1.0007273868212665,1.081109381155245,-0.07435139842009736
2025-01-13,94516.5234375,95837.0,89260.1015625,94488.890625,72978998252,0.00029724205673309356,,,0.000297197889065057,,0.001024845087954418,1.0010248450879544,1.081109381155245,-0.07407625672595161
2025-01-14,96534.046875,97352.6640625,94322.15625,94519.0078125,53769675818,0.021345722040169157,,,0.02112109307155958,,0.02239244318650524,1.0223924431865052,1.081109381155245,-0.054311745871630866
2025-01-15,100504.4921875,100697.234375,96501.640625,96534.046875,57805923627,0.041129999632577796,,,0.04030666140622702,,0.06444344399911661,1.0644434439991166,1.081109381155245,-0.015415588326797817
2025-01-16,99756.90625,100781.5859375,97364.4453125,100505.296875,54103781805,-0.0074383335632930425,,,-0.007466135920999606,,0.05652575860339071,1.0565257586033907,1.081109381155245,-0.022739255602041767
2025-01-17,104462.0390625,105884.2265625,99948.90625,100025.765625,71888972663,0.04716598568833419,,,0.046087453886957834,,0.10635783741303473,1.1063578374130347,1.1063578374130347,0.0
2025-01-18,104408.0703125,104913.203125,102226.6171875,104124.953125,50445655726,-0.000516635042589142,,,-0.0005167685444558994,,0.10578625418458398,1.105786254184584,1.1063578374130347,-0.0005166350425891697
